name,total_ms,calls,per_token_rank_ms,avg_ms,med_ms
cuStreamSynchronize,10245.9928,172992,160.0936375,0.0592,0.0106
cuMemFreeAsync,2496.0633,111531,39.0009890625,0.0224,0.0067
cuMemAllocAsync,1842.9194,111531,28.795615625,0.0165,0.0053
cudaLaunchKernel,1509.1592,130204,23.5806125,0.0116,0.0092
cuMemsetD8Async,1310.036,120303,20.4693125,0.0109,0.0087
cuMemcpyDtoHAsync_v2,466.4005,7234,7.2875078125,0.0645,0.0237
cudaEventRecord,248.8326,32400,3.888009375,0.0077,0.0047
cudaStreamWaitEvent,213.4672,27520,3.335425,0.0078,0.0046
cuLaunchKernelEx,161.4932,13760,2.52333125,0.0117,0.0087
cudaStreamGetCaptureInfo_v2_v11030,151.8999,38160,2.3734359375,0.004,0.0019
