name,total_ms,calls,per_token_rank_ms,avg_ms,med_ms
cuStreamSynchronize,10165.3272,172992,158.8332375,0.0588,0.0091
cuMemFreeAsync,2835.0065,136825,44.2969765625,0.0207,0.005
cuMemAllocAsync,1833.9828,136825,28.65598125,0.0134,0.0039
cudaLaunchKernel,1274.6462,130204,19.916346875,0.0098,0.0079
cuMemsetD8Async,1112.8535,129591,17.3883359375,0.0086,0.0067
cuMemcpyDtoHAsync_v2,465.0697,7234,7.2667140625,0.0643,0.0234
cudaEventRecord,191.4169,32400,2.9908890625,0.0059,0.0033
cudaStreamWaitEvent,165.8376,27520,2.5912125,0.006,0.0032
cuLaunchKernelEx,140.1119,13760,2.1892484375,0.0102,0.0077
cudaStreamGetCaptureInfo_v2_v11030,117.2462,38160,1.831971875,0.0031,0.0015
