phase,count,p50_ms,p95_ms,p99_ms,sum_ms
ffn_total,5160,2.881,4.139,4.493,54076.397000000004
ffn_deepep_dispatch_combine,5160,2.2975000000000003,3.265,3.606,50505.71700000004
attn_total,5160,1.396,2.43,8.241,21446.089000000004
attn_core,5160,1.099,2.037,7.45,19605.669999999995
ffn_deepep_combine,5160,0.5974999999999999,1.429,1.682,20101.205999999995
ffn_deepep_combine_exchange,5160,0.495,1.304,1.56,19610.998000000003
ffn_deepep_local_experts,5160,0.488,0.961,1.261,2006.8619999999994
ffn_shared,5160,0.298,0.529,0.646,1645.6290000000029
attn_csa_select_kernel,2520,0.21,0.224,0.238,511.6600000000018
attn_hybrid_kernel,4920,0.194,0.26,0.274,989.1819999999975
attn_proj,5160,0.169,0.314,1.73,1109.7790000000011
attn_all_reduce,4920,0.164,0.478,0.642,989.5719999999986
ffn_deepep_count_exchange,5160,0.159,0.477,0.559,1036.5119999999986
attn_swa_all_reduce,240,0.152,0.76,1405.176,13042.721
ffn_deepep_route_select,5160,0.152,0.165,0.174,777.2139999999846
attn_compressor_update,4920,0.133,0.26,3.397,1098.3969999999995
attn_swa_kernel,240,0.131,0.164,0.185,31.79899999999999
ffn_deepep_dispatch,5160,0.129,0.422,0.462,22673.899000000005
ffn_deepep_pack_by_rank,5160,0.118,0.218,0.271,624.6619999999998
attn_indexer_update,2520,0.117,0.579,2.622,504.8320000000003
attn_mhc,5160,0.111,0.189,0.371,668.3280000000012
ffn_mhc,5160,0.098,0.176,0.198,604.6880000000031
attn_csa_project,2520,0.078,0.174,0.84,284.31099999999907
attn_swa_output_proj,240,0.072,0.123,0.141,19.87999999999999
attn_swa_prepare_qk,240,0.07050000000000001,0.135,0.275,18.961999999999996
attn_output_proj,4920,0.07,0.097,0.116,365.2820000000024
attn_pre_norm,5160,0.069,0.147,0.311,426.27300000000025
ffn_pre_norm,5160,0.054,0.127,0.152,336.7050000000019
ffn_deepep_route_setup,5160,0.047,0.106,0.138,271.13100000000185
ffn_deepep_count_by_rank,5160,0.045,0.098,0.12,260.8810000000024
attn_prepare_qk,4920,0.042,0.119,0.171,268.4830000000026
ffn_post,5160,0.042,0.099,0.144,248.44800000000208
attn_post,5160,0.039,0.093,0.13,233.46300000000264
ffn_deepep_route_logits,5160,0.038,0.089,0.111,406.97300000000376
ffn_deepep_combine_kernel,5160,0.018,0.045,0.059,117.94000000000312
attn_swa_window_update,240,0.016,0.045,0.064,4.956999999999996
attn_window_update,4920,0.014,0.032,0.045,82.20900000000286
attn_swa_window_alloc,240,0.008,0.029,0.036,2.5759999999999983
attn_window_alloc,4920,0.006,0.025,0.039,46.30199999999958
