total_ms,count,per_token_rank_ms,avg_us,min_us,max_us,name
5185.854942,151320,92.60455253571429,34.27078338620142,2.412,2216.286,cuStreamSynchronize
2354.964165,109572,42.05293151785714,21.49239007228124,0.123,1533.098,cuMemFreeAsync
1138.527637,109569,20.330850660714283,10.390964935337548,0.116,1462.13,cuMemAllocAsync
1085.496417,105578,19.383864589285714,10.281464102369814,2.72,147.244,cudaLaunchKernel_v7000
950.229014,103341,16.96837525,9.195082435819277,0.11,250.065,cuMemsetD8Async
424.550423,6207,7.581257553571429,68.39865039471565,11.866,592.37,cuMemcpyDtoHAsync_v2
186.728947,28952,3.3344454821428573,6.449604414202819,0.483,92.349,cudaEventRecord_v3020
159.10705,24080,2.841197321428571,6.607435631229236,0.564,83.056,cudaStreamWaitEvent_v3020
129.425236,12040,2.311164928571429,10.749604318936878,3.043,85.057,cuLaunchKernelEx
117.622095,36400,2.100394553571429,3.231376236263736,0.24,56.726,cudaStreamGetCaptureInfo_v2_v11030
74.742265,5986,1.3346833035714287,12.486178583361175,3.682,85.428,cuMemcpyDtoDAsync_v2
67.281136,6228,1.2014488571428572,10.803008349389852,2.393,61.782,cuMemcpyHtoDAsync_v2
34.499348,12040,0.6160597857142857,2.8653943521594685,0.143,63.942,cudaGetFuncBySymbol_v11000
0.651323,9,0.011630767857142857,72.36922222222222,40.302,130.312,cuMemGetInfo_v2
