Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.7,10087506769,172992,58312.0,9115.5,2412,187859739,1286407.9,cuStreamSynchronize
16.1,3070689877,137046,22406.3,5736.0,123,1533098,36528.0,cuMemFreeAsync
10.9,2088851207,137046,15242.0,4614.0,116,8616859,120297.7,cuMemAllocAsync
6.9,1323107019,129945,10182.1,8104.0,2596,147244,5992.7,cudaLaunchKernel
6.2,1184654440,129779,9128.2,7154.0,110,296746,6470.2,cuMemsetD8Async
2.5,486435092,7267,66937.5,24487.0,11866,592370,99310.6,cuMemcpyDtoHAsync_v2
1.1,203665665,32400,6286.0,3461.0,483,92349,6815.6,cudaEventRecord
0.9,176606904,27520,6417.4,3487.0,564,83056,6970.0,cudaStreamWaitEvent
0.8,146411788,13760,10640.4,7932.5,3043,85057,7067.1,cuLaunchKernelEx
0.6,122838024,38160,3219.0,1584.0,240,56726,3988.7,cudaStreamGetCaptureInfo_v2_v11030
0.6,109310293,8712,12547.1,9598.0,3467,85428,7962.4,cuMemcpyDtoDAsync_v2
0.4,80640371,7267,11096.8,8865.0,2393,61782,7216.8,cuMemcpyHtoDAsync_v2
0.2,38388588,13760,2789.9,773.5,141,63942,4339.7,cudaGetFuncBySymbol_v11000
0.0,4700452,344,13664.1,11068.5,5537,44541,7069.0,cudaMemsetAsync
0.0,1227171,16,76698.2,72596.5,39732,130312,28931.2,cuMemGetInfo_v2
