total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
380.998242,11097,47.62478,34.333445,0.129,548.57,cuMemAllocAsync
346.440076,11105,43.305009,31.196765,0.13,572.466,cuMemFreeAsync
236.884688,883,29.610586,268.27258,12.057,2019.644,cuMemcpyDtoHAsync_v2
127.409857,15080,15.926232,8.44893,2.859,74.37,cudaLaunchKernel_v7000
109.373492,12167,13.671686,8.989356,0.116,111.471,cuMemsetD8Async
30.718893,4136,3.839862,7.427199,0.507,73.744,cudaEventRecord_v3020
27.531104,3440,3.441388,8.003228,0.565,55.283,cudaStreamWaitEvent_v3020
21.130977,1720,2.641372,12.285452,3.51,66.423,cuLaunchKernelEx
16.779513,859,2.097439,19.533775,4.227,68.122,cuMemcpyDtoDAsync_v2
14.055337,5200,1.756917,2.702949,0.251,62.042,cudaStreamGetCaptureInfo_v2_v11030
12.351268,891,1.543908,13.862254,3.159,65.852,cuMemcpyHtoDAsync_v2
6.185711,1720,0.773214,3.596344,0.136,48.679,cudaGetFuncBySymbol_v11000
