total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
211.142939,9144,26.392867,23.090873,0.501,546.178,cuMemFreeAsync
209.279121,9136,26.15989,22.907084,0.562,373.435,cuMemAllocAsync
174.225071,15056,21.778134,11.571803,2.708,190.898,cudaLaunchKernel_v7000
161.571354,871,20.196419,185.50098,12.113,1235.729,cuMemcpyDtoHAsync_v2
115.661794,10182,14.457724,11.359438,1.638,69.837,cuMemsetD8Async
41.063085,4136,5.132886,9.928212,0.521,68.678,cudaEventRecord_v3020
35.149393,3440,4.393674,10.217847,0.597,70.281,cudaStreamWaitEvent_v3020
25.534568,1720,3.191821,14.845679,3.604,92.36,cuLaunchKernelEx
18.601384,5200,2.325173,3.577189,0.243,59.221,cudaStreamGetCaptureInfo_v2_v11030
15.312215,823,1.914027,18.605365,5.118,76.42,cuMemcpyDtoDAsync_v2
12.135053,879,1.516882,13.805521,2.874,59.369,cuMemcpyHtoDAsync_v2
8.296256,1720,1.037032,4.823405,0.136,91.676,cudaGetFuncBySymbol_v11000
