Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.5,1191875770,35059,33996.3,1708.0,517,959673,74448.1,cuMemFreeAsync
25.7,1038188605,1048,990638.0,194503.0,12043,4869777,1313218.8,cuMemcpyDtoHAsync_v2
19.8,798782594,35059,22784.0,6824.0,487,399043,32208.1,cuMemAllocAsync
11.9,480478199,41468,11586.7,8726.0,2532,369495,8126.4,cudaLaunchKernel
6.8,273638671,28475,9609.8,6530.0,1181,77529,7906.3,cuMemsetD8Async
1.1,43950293,6208,7079.6,3989.0,480,76386,7601.2,cudaEventRecord
1.0,42223249,16,2638953.1,2626871.0,191590,5382899,2398295.3,cuStreamSynchronize
0.9,37322105,5504,6780.9,3585.0,566,73717,7497.9,cudaStreamWaitEvent
0.8,30373245,2752,11036.8,8290.0,3271,63399,7448.2,cuLaunchKernelEx
0.7,29542088,2080,14202.9,10382.5,2999,315449,12203.7,cuMemcpyHtoDAsync_v2
0.6,25812981,6272,4115.6,1886.0,246,54597,5341.6,cudaStreamGetCaptureInfo_v2_v11030
0.6,23741358,1408,16861.8,12326.0,4540,73999,11327.0,cuMemcpyDtoDAsync_v2
0.3,10284074,8,1285509.3,1666692.0,84852,2182112,973442.6,cuMemGetInfo_v2
0.2,7730084,2752,2808.9,829.0,133,46367,4497.6,cudaGetFuncBySymbol_v11000
0.1,4525709,344,13156.1,9668.0,4433,38519,7959.9,cudaMemsetAsync
0.0,27337,2,13668.5,13668.5,8607,18730,7158.0,cuCtxSynchronize
0.0,5740,1,5740.0,5740.0,5740,5740,0.0,cuProfilerStart
0.0,2360,1,2360.0,2360.0,2360,2360,0.0,cuCtxSetCurrent
0.0,1872,1,1872.0,1872.0,1872,1872,0.0,cuProfilerStop
