Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.7,1185780198,36779,32240.7,2201.0,541,1112307,74574.1,cuMemFreeAsync
22.8,909376032,1048,867725.2,155489.5,12491,4961622,1175190.5,cuMemcpyDtoHAsync_v2
16.4,654342211,36779,17791.2,6230.0,544,401776,25801.5,cuMemAllocAsync
15.2,605824458,41468,14609.4,11249.0,2788,149204,9937.5,cudaLaunchKernel
8.4,333686950,28475,11718.6,8423.0,1187,96044,9426.4,cuMemsetD8Async
1.5,59322455,6208,9555.8,6157.5,484,77656,9453.6,cudaEventRecord
1.3,51396159,5504,9338.0,5736.0,562,80063,9545.5,cudaStreamWaitEvent
1.1,42505389,16,2656586.8,2589584.0,23451,5557568,2556684.0,cuStreamSynchronize
1.0,39182847,2752,14238.0,10808.5,3561,79734,9655.0,cuLaunchKernelEx
0.9,34673444,6272,5528.3,2699.0,243,64257,6661.8,cudaStreamGetCaptureInfo_v2_v11030
0.8,32933869,2080,15833.6,12217.5,3213,342040,12956.3,cuMemcpyHtoDAsync_v2
0.6,25489215,1408,18103.1,15048.5,4671,69384,11173.0,cuMemcpyDtoDAsync_v2
0.3,11132885,2752,4045.4,1290.5,150,58108,6244.6,cudaGetFuncBySymbol_v11000
0.1,5233449,344,15213.5,13027.5,4412,53427,8875.4,cudaMemsetAsync
0.0,1380553,8,172569.1,182978.0,75697,260143,66593.8,cuMemGetInfo_v2
0.0,27468,2,13734.0,13734.0,7937,19531,8198.2,cuCtxSynchronize
0.0,4970,1,4970.0,4970.0,4970,4970,0.0,cuProfilerStart
0.0,2043,1,2043.0,2043.0,2043,2043,0.0,cuProfilerStop
0.0,1941,1,1941.0,1941.0,1941,1941,0.0,cuCtxSetCurrent
