Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.2,1047643098,6402,163643.1,118207.5,94304,990080,109096.2,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
26.3,831470641,1376,604266.5,114736.0,5152,5684672,1142758.7,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.6,460988024,2920,157872.6,133232.5,68992,262304,58334.4,"dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
5.1,160174982,344,465624.9,490705.0,8993,1335171,301554.4,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.6,114063832,688,165790.5,41248.0,14784,6422955,387682.3,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.0,94445947,656,143972.5,151392.0,59136,225697,58171.0,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
2.9,91803156,2920,31439.4,27455.0,20768,44864,8647.8,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
2.9,90280796,688,131222.1,137248.5,46560,139520,22975.7,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
2.8,88681324,1376,64448.6,64400.0,63360,66240,538.0,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
2.1,66402953,336,197627.8,197680.5,189345,204225,2303.9,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
0.8,24959648,992,25160.9,26400.0,2464,58560,17466.4,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.3,8965191,1536,5836.7,5696.0,4224,7041,805.0,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,8619883,1504,5731.3,4832.0,4192,9440,1550.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.2,6870120,2752,2496.4,2591.5,1792,3424,375.8,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.2,6539395,16,408712.2,408736.0,406144,410913,1227.9,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.2,6034115,656,9198.3,10640.0,6880,11872,2011.2,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.2,4836858,1376,3515.2,3664.0,1696,5344,1507.7,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
0.1,4694058,2192,2141.4,2080.0,1727,2784,277.6,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,4250895,2836,1498.9,1472.0,1280,2497,123.3,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.1,3838233,344,11157.7,11120.0,7872,17120,1826.5,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,3752749,2148,1747.1,1600.0,1312,3872,364.5,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.1,3318388,688,4823.2,4800.0,4447,5345,227.0,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
0.1,3043490,688,4423.7,5184.0,1184,5984,1660.3,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.1,2332702,688,3390.6,3296.0,3039,4160,265.8,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
0.1,2328248,1376,1692.0,1792.0,1152,2016,187.6,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
0.1,2207166,704,3135.2,3136.0,2209,3488,137.6,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.1,2196734,42,52303.2,52112.0,51296,54592,726.4,"dsv4_fp4_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
0.1,2176671,32,68021.0,67919.5,30528,105792,37599.0,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.1,1948898,688,2832.7,2752.0,2368,3776,297.5,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.0,1293537,344,3760.3,3744.0,3488,4096,99.9,"dsv4_scatter_route_outputs_by_slot_kernel(const unsigned short *, unsigned short *, const int *, int, int)"
0.0,1173254,704,1666.6,1664.0,1535,1920,36.6,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,955385,688,1388.6,1376.0,1055,1760,157.9,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,935840,344,2720.5,2720.0,2559,3040,88.2,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,843999,344,2453.5,2464.0,2367,2592,41.2,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,827102,688,1202.2,1217.0,960,1440,99.5,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,812640,344,2362.3,2368.0,2207,2529,55.3,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,765289,344,2224.7,2240.0,2016,2688,103.3,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,499743,344,1452.7,1440.0,1375,1792,75.5,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,490582,344,1426.1,1440.0,1088,1952,139.2,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,462107,344,1343.3,1344.0,1216,1440,35.9,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,402947,344,1171.4,1088.0,896,1377,148.0,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,245440,16,15340.0,15311.5,15072,15520,117.8,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,204511,16,12781.9,12800.0,12064,13728,444.0,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,45438,16,2839.9,2848.0,2624,3040,114.8,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,34847,16,2177.9,2208.0,1472,2880,625.8,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,33054,16,2065.9,2080.0,1920,2335,110.1,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
