Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.5,1252304105,36779,34049.4,2129.0,513,951834,75626.1,cuMemFreeAsync
23.6,969517125,1048,925111.8,187634.5,12226,4872223,1234409.7,cuMemcpyDtoHAsync_v2
20.2,827497292,36779,22499.2,6763.0,524,382261,31585.9,cuMemAllocAsync
12.2,502072939,41468,12107.5,9126.0,2730,141406,8278.5,cudaLaunchKernel
6.7,274181115,28475,9628.8,6594.0,1189,319909,8186.1,cuMemsetD8Async
1.1,45768035,6208,7372.4,4051.0,486,79625,7984.4,cudaEventRecord
1.0,40786341,16,2549146.3,2528630.5,26744,5193613,2450157.6,cuStreamSynchronize
1.0,39954475,5504,7259.2,3846.0,609,78800,7978.8,cudaStreamWaitEvent
0.8,32210613,2752,11704.4,8677.0,3297,146488,8133.8,cuLaunchKernelEx
0.8,31034097,2080,14920.2,10930.5,3194,76091,10730.7,cuMemcpyHtoDAsync_v2
0.7,28328941,6272,4516.7,2079.0,247,78382,5894.0,cudaStreamGetCaptureInfo_v2_v11030
0.6,23333848,1408,16572.3,12620.5,4511,116884,11302.2,cuMemcpyDtoDAsync_v2
0.2,8780579,2752,3190.6,881.0,146,60882,5247.7,cudaGetFuncBySymbol_v11000
0.2,7788807,688,11320.9,7925.5,799,64227,10503.6,cuEventRecord
0.2,6849443,688,9955.6,7159.0,623,52905,9125.2,cuStreamWaitEvent
0.1,5090901,344,14799.1,12438.5,4356,79315,9006.8,cudaMemsetAsync
0.1,4245452,688,6170.7,3430.5,473,64270,7069.0,cuEventCreate
0.1,3570173,688,5189.2,2532.0,369,47008,6186.9,cuEventDestroy_v2
0.0,1246334,8,155791.8,154535.5,75759,240091,59249.6,cuMemGetInfo_v2
0.0,33239,2,16619.5,16619.5,8424,24815,11590.2,cuCtxSynchronize
0.0,7048,1,7048.0,7048.0,7048,7048,0.0,cuProfilerStart
0.0,3013,1,3013.0,3013.0,3013,3013,0.0,cuCtxSetCurrent
0.0,2233,1,2233.0,2233.0,2233,2233,0.0,cuProfilerStop
