
NOTICE: Existing SQLite export found: docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-compressor-projection-scratch/trace.sqlite
        It is assumed file was previously exported from: docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-compressor-projection-scratch/trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-compressor-projection-scratch/trace.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     28.5      752,573,250      1,720  437,542.6  149,712.5     5,152   4,085,184    692,045.5  ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)                               
     25.4      672,214,883      5,049  133,138.2  116,544.0   101,824     497,697     47,690.6  dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
     13.4      354,263,575        688  514,918.0  443,391.5    14,816  13,495,002    913,126.6  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)             
     10.8      286,572,506      2,920   98,141.3   93,855.5    54,655     161,727     32,766.8  dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
      3.5       91,863,152      2,920   31,460.0   27,456.0    20,864      44,833      8,654.5  dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __n…
      3.4       90,327,035        688  131,289.3  137,440.0    46,528     139,583     23,004.3  dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int …
      3.4       88,674,901      1,376   64,444.0   64,416.0    63,360      66,111        536.9  dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, cons…
      3.3       87,214,701        656  132,949.2  136,528.5    52,064     212,128     56,091.8  dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *…
      2.4       63,911,697        336  190,213.4  189,936.5   182,528     197,856      2,675.5  dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int …
      2.4       63,238,660        344  183,833.3   16,480.0     7,776   1,358,849    242,196.1  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
      0.6       15,215,306        992   15,338.0   15,408.0     2,399      33,792      9,259.3  dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short …
      0.3        8,634,833      1,504    5,741.2    4,832.0     4,160       9,344      1,556.3  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.3        6,865,103      2,752    2,494.6    2,560.0     1,824       3,232        366.2  rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)  
      0.2        6,538,277         16  408,642.3  408,752.5   407,265     409,919        772.3  gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)    
      0.2        4,479,636        848    5,282.6    5,312.0     4,640       6,272        304.2  void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)          
      0.1        3,893,929        336   11,589.1   11,728.0    11,072      12,704        414.3  void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x4_tn_align8>(T1::Params)          
      0.1        3,827,751        688    5,563.6    5,537.0     5,376       5,952         96.5  void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)     
