Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.4,1213250569,36779,32987.6,2265.0,501,1323977,71793.5,cuMemFreeAsync
26.1,1041919314,1048,994197.8,173801.5,12350,8512995,1351450.5,cuMemcpyDtoHAsync_v2
17.9,714860691,36779,19436.7,5611.0,538,451147,29270.0,cuMemAllocAsync
12.4,493804163,41468,11908.1,9013.0,2846,103184,8040.4,cudaLaunchKernel
6.9,273851273,28475,9617.3,6558.0,1208,93688,7914.0,cuMemsetD8Async
1.1,45402984,6208,7313.6,4150.0,472,74880,7721.5,cudaEventRecord
1.0,40100174,16,2506260.9,2461234.5,119259,5064138,2326324.6,cuStreamSynchronize
1.0,38653109,5504,7022.7,3781.5,582,63660,7546.6,cudaStreamWaitEvent
0.8,31347947,2752,11391.0,8381.5,3378,72632,7726.4,cuLaunchKernelEx
0.7,29170495,2080,14024.3,10130.0,2487,327324,12196.4,cuMemcpyHtoDAsync_v2
0.7,27043965,6272,4311.9,1996.0,247,63168,5528.1,cudaStreamGetCaptureInfo_v2_v11030
0.5,21649746,1408,15376.2,11472.0,4358,65831,10299.1,cuMemcpyDtoDAsync_v2
0.2,8485596,2752,3083.4,893.5,149,53888,5131.8,cudaGetFuncBySymbol_v11000
0.1,4944671,344,14374.0,11899.5,4611,56247,8295.7,cudaMemsetAsync
0.0,1254232,8,156779.0,163130.5,81964,225287,54096.9,cuMemGetInfo_v2
0.0,24219,2,12109.5,12109.5,7710,16509,6221.8,cuCtxSynchronize
0.0,6251,1,6251.0,6251.0,6251,6251,0.0,cuProfilerStart
0.0,2643,1,2643.0,2643.0,2643,2643,0.0,cuCtxSetCurrent
0.0,1760,1,1760.0,1760.0,1760,1760,0.0,cuProfilerStop
