Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.6,1048134403,6402,163719.8,118240.0,94496,987681,109092.7,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
26.3,821604865,1376,597096.6,89728.0,5440,5751122,1153042.1,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.8,460992138,2920,157874.0,133311.5,68992,267135,58275.2,"dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
5.3,164388029,344,477872.2,523296.5,9024,1340000,304720.8,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.0,94460719,656,143995.0,151488.5,59168,226112,58147.8,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
2.9,91764858,2920,31426.3,27424.0,20768,44960,8645.0,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
2.9,90281045,688,131222.4,137311.0,46688,139487,22970.2,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
2.8,88665418,1376,64437.1,64447.5,63392,66208,542.1,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
2.6,80060110,688,116366.4,36096.5,14848,10347473,437834.6,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
2.1,66446149,336,197756.4,197472.0,191392,203776,2117.5,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
0.8,24962568,992,25163.9,26447.5,2400,58112,17472.4,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.3,8963543,1536,5835.6,5696.0,4192,7008,802.9,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,8613275,1504,5726.9,4832.0,4127,9504,1546.8,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.2,6871808,2752,2497.0,2592.0,1824,3295,369.4,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.2,6535008,16,408438.0,408640.5,405664,409983,1174.6,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.2,6041371,656,9209.4,10656.0,6880,12512,2013.8,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.2,4835195,1376,3513.9,3664.0,1472,5344,1507.3,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
0.2,4698143,2192,2143.3,2080.0,1728,2880,281.2,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,4273056,344,12421.7,12384.0,7744,20000,2819.6,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,4244077,2836,1496.5,1472.0,1248,2496,122.6,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.1,3746203,2148,1744.0,1600.0,1376,3840,365.3,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.1,3321827,688,4828.2,4800.0,4416,5568,228.3,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
0.1,3035931,688,4412.7,5184.0,1183,6016,1666.0,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.1,2340192,688,3401.4,3296.0,3040,4097,258.5,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
0.1,2328343,1376,1692.1,1792.0,1088,2080,187.7,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
0.1,2203984,704,3130.7,3136.0,2144,3488,144.2,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.1,2203714,42,52469.4,52160.0,51232,54656,806.4,"dsv4_fp4_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
0.1,2176705,32,68022.0,68064.5,30560,105408,37603.4,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.1,1946274,688,2828.9,2752.0,2368,3680,302.1,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.0,1289721,344,3749.2,3744.0,3488,4032,86.9,"dsv4_scatter_route_outputs_by_slot_kernel(const unsigned short *, unsigned short *, const int *, int, int)"
0.0,1169841,704,1661.7,1664.0,1536,1920,38.0,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,962979,688,1399.7,1376.0,1056,1793,158.5,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,932162,344,2709.8,2720.0,2528,2976,84.1,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,844389,344,2454.6,2463.5,2336,2592,45.7,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,829800,688,1206.1,1216.0,960,1408,97.0,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,813280,344,2364.2,2368.0,2240,2528,56.7,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,763448,344,2219.3,2240.0,2016,2688,99.6,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,497465,344,1446.1,1440.0,1056,1760,134.5,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,497410,344,1446.0,1440.0,1375,1760,62.8,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,463299,344,1346.8,1344.0,1216,1504,35.1,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,405340,344,1178.3,1216.0,928,1408,138.5,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,244737,16,15296.1,15248.0,15040,15648,193.8,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,207487,16,12967.9,12848.0,12321,13888,506.5,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,44736,16,2796.0,2816.0,2656,3008,93.4,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,34368,16,2148.0,2143.5,1471,2944,670.7,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,33249,16,2078.1,2080.0,1920,2400,130.4,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
