name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16415,219.107342999999,0.013347995309168382
cuMemAllocAsync,6760,82.06197300000015,0.012139345118343218
cuMemcpyDtoHAsync_v2,344,67.18723799999998,0.19531173837209295
cuMemFreeAsync,3048,45.20557700000001,0.01483122604986877
cuMemsetD8Async,3640,41.23908399999996,0.01132941868131867
cudaEventRecord_v3020,2760,22.121197999999975,0.008014926811594193
cudaStreamGetCaptureInfo_v2_v11030,4512,20.36791600000004,0.004514165780141853
cudaStreamWaitEvent_v3020,2064,16.580831999999983,0.008033348837209294
cuMemcpyHtoDAsync_v2,1040,15.410325000000023,0.014817620192307715
cuLaunchKernelEx,1032,12.550928999999988,0.012161752906976733
cuMemcpyDtoDAsync_v2,704,10.755304999999986,0.01527742187499998
cudaGetFuncBySymbol_v11000,1032,3.579802,0.003468800387596899
