Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.6,1252028381,36779,34041.9,2040.0,547,1097099,74803.5,cuMemFreeAsync
23.9,979405456,1048,934547.2,200159.5,11791,7628964,1245196.5,cuMemcpyDtoHAsync_v2
22.0,899242245,36779,24449.9,6889.0,532,392384,34329.9,cuMemAllocAsync
11.4,465969183,41707,11172.4,8172.0,2559,198749,8027.5,cudaLaunchKernel
6.1,251375198,28475,8827.9,5976.0,1171,127000,7441.8,cuMemsetD8Async
1.0,41458182,16,2591136.4,2529395.5,165179,5346309,2407123.8,cuStreamSynchronize
1.0,39964552,6208,6437.6,3290.5,480,299127,8327.6,cudaEventRecord
0.8,34618443,5504,6289.7,3208.0,560,102104,7277.7,cudaStreamWaitEvent
0.7,29068814,2080,13975.4,10295.5,3232,120277,10238.4,cuMemcpyHtoDAsync_v2
0.7,28954870,2752,10521.4,7680.5,3254,60238,7287.5,cuLaunchKernelEx
0.7,28483827,1752,16257.9,12204.5,4385,68160,10676.6,cuMemcpyDtoDAsync_v2
0.6,25468953,6272,4060.7,1761.0,244,119832,5823.8,cudaStreamGetCaptureInfo_v2_v11030
0.2,7140351,2752,2594.6,693.5,136,43759,4600.9,cudaGetFuncBySymbol_v11000
0.1,5428433,8,678554.1,690532.0,556611,788015,84663.1,cuMemGetInfo_v2
0.1,4555500,344,13242.7,10354.5,4008,40687,7789.7,cudaMemsetAsync
0.0,33534,2,16767.0,16767.0,8775,24759,11302.4,cuCtxSynchronize
0.0,5806,1,5806.0,5806.0,5806,5806,0.0,cuProfilerStart
0.0,1951,1,1951.0,1951.0,1951,1951,0.0,cuProfilerStop
0.0,1594,1,1594.0,1594.0,1594,1594,0.0,cuCtxSetCurrent
