name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16177,226.62932499999866,0.014009354330221838
cuMemcpyDtoHAsync_v2,344,77.9634030000001,0.22663779941860493
cuMemAllocAsync,5040,39.93894600000007,0.007924394047619063
cudaEventRecord_v3020,2760,24.752644000000032,0.00896834927536233
cudaStreamGetCaptureInfo_v2_v11030,4512,22.242332999999988,0.004929595079787232
cudaStreamWaitEvent_v3020,2064,19.065783000000025,0.009237297965116291
cuLaunchKernelEx,1032,14.017885000000007,0.013583221899224812
cuMemcpyHtoDAsync_v2,1040,13.989444000000011,0.013451388461538472
cuMemsetD8Async,1232,12.462306000000007,0.010115508116883122
cuMemFreeAsync,1328,11.417851000000002,0.00859777936746988
cuMemcpyDtoDAsync_v2,360,4.928681,0.013690780555555556
cudaGetFuncBySymbol_v11000,1032,3.660284999999999,0.0035467877906976736
