name,time_ms_per_rank_range,total_time_ms_all_ranges,calls
ncclDevKernel_SendRecv,45.793519,366.348152,1032
dsv4_fp4_gemv_pair_batch_kernel,23.207153125,185.657225,258
dsv4_fp8_gemv_batch_kernel,11.47269525,91.781562,2920
dsv4_hybrid_attention_kernel,6.9525035,55.620028,328
dsv4_route_kernel,5.656846125,45.254769,344
dsv4_mhc_params_kernel,5.498254125,43.986033,688
dsv4_csa_select_kernel,3.960137875,31.681103,168
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,3.54912925,28.393034,344
dsv4_fp4_gemv_batch_tiled_kernel,3.348858625,26.790869,258
kernel,1.075930625,8.607445,1504
dsv4_compressor_update_kernel,0.587682125,4.701457,496
rms_norm_batched_kernel,0.434728375,3.477827,1376
gemv_handwritten_kernel,0.40798825,3.263906,8
dot_kernel,0.272926625,2.183413,696
dsv4_pack_expert_ranks_kernel,0.199025,1.5922,344
dsv4_swa_attention_kernel,0.197251875,1.578015,16
dsv4_mhc_post_kernel,0.17707425,1.416594,688
dsv4_pack_received_experts_kernel,0.152659,1.221272,344
reduce_1Block_kernel,0.1444325,1.15546,696
dsv4_prepare_q_kernel,0.1379445,1.103556,344
dsv4_mhc_pre_kernel,0.129878125,1.039025,688
dsv4_prepare_k_kernel,0.111880625,0.895045,344
dsv4_swiglu_clamped_kernel,0.108065125,0.864521,602
dsv4_sum_padded_route_outputs_by_peer_kernel,0.0953865,0.763092,344
dsv4_sum_bf16_rows_kernel,0.060031375,0.480251,344
dsv4_count_packed_local_experts_kernel,0.05869975,0.469598,344
add_assign_bf16_kernel,0.057488,0.459904,344
dsv4_scatter_packed_route_slot_kernel,0.052027,0.416216,258
dsv4_init_padded_route_slots_kernel,0.0507395,0.405916,344
dsv4_update_window_cache_kernel,0.04949175,0.395934,344
