Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.1,1402250231,1048,1338025.0,442812.5,12356,11800453,1625473.8,cuMemcpyDtoHAsync_v2
30.2,1207017363,35059,34428.2,1587.0,512,1542391,80207.7,cuMemFreeAsync
14.2,569138861,35059,16233.7,4213.0,455,633563,33724.8,cuMemAllocAsync
12.4,496125749,41468,11964.1,8585.0,2536,405359,15830.6,cudaLaunchKernel
1.9,75765445,7008,10811.3,7088.5,1322,324435,16787.0,cuMemsetD8Async
1.1,43355345,6208,6983.8,3573.0,462,320947,12730.9,cudaEventRecord
1.1,42934342,16,2683396.4,2574086.5,355778,5454635,2323842.1,cuStreamSynchronize
0.9,35761648,5504,6497.4,3425.5,558,311106,9141.5,cudaStreamWaitEvent
0.7,29195431,2752,10608.8,8030.5,3084,57823,7208.4,cuLaunchKernelEx
0.7,26843449,6272,4279.9,1846.5,246,332585,12266.6,cudaStreamGetCaptureInfo_v2_v11030
0.6,24073082,1736,13867.0,9489.0,3260,317259,17609.5,cuMemcpyHtoDAsync_v2
0.6,22004221,1408,15628.0,10835.5,4117,330719,16556.3,cuMemcpyDtoDAsync_v2
0.3,10637088,8,1329636.0,1425901.5,519659,1603412,338569.6,cuMemGetInfo_v2
0.2,7603920,2752,2763.1,717.0,135,311687,7472.7,cudaGetFuncBySymbol_v11000
0.1,5841216,344,16980.3,10634.0,4950,319605,30792.1,cudaMemsetAsync
0.0,31928,2,15964.0,15964.0,6914,25014,12798.6,cuCtxSynchronize
0.0,5588,1,5588.0,5588.0,5588,5588,0.0,cuProfilerStart
0.0,2715,1,2715.0,2715.0,2715,2715,0.0,cuProfilerStop
0.0,1387,1,1387.0,1387.0,1387,1387,0.0,cuCtxSetCurrent
